Project_ID,Project_Name,Category,Estimated_Cost (INR),Start_Year,End_Year,Duration
P001,Rural Ambulance Services,Healthcare,2000000000,2024,2026,2
P002,Drinking Water Purification Units,Water & Sanitation,1800000000,2024,2028,4
P003,Village Smart Classrooms,Education,2200000000,2025,2026,1
P004,Rural Health Awareness Program,Healthcare,1200000000,2024,2027,3
P005,Water Supply Line Upgrades,Infrastructure,2400000000,2025,2029,4
P006,Road Safety Improvement Project,Infrastructure,1500000000,2024,2030,6
P007,Public Library Renovation,Education,1000000000,2024,2025,1
P008,Community Toilet Construction,Water & Sanitation,1400000000,2024,2026,2
P009,Bus Stop Modernization,Transport,1250000000,2025,2027,2
P010,Solar Street Lighting,Energy,2000000000,2024,2031,7
P011,Traffic Safety Initiative,Transport,1800000000,2025,2028,3
P012,Urban Tree Plantation Drive,Environment,1200000000,2025,2026,1
P013,Flood Prevention Drainage System,Infrastructure,2300000000,2024,2030,6
P014,Waste Management Awareness,Environment,900000000,2024,2025,1
P015,Skill Development for Youth,Education,1600000000,2025,2032,7
P016,Community Sports Ground,Social Welfare,2250000000,2024,2028,4
P017,Women’s Self-Employment Program,Social Welfare,1100000000,2025,2027,2
P018,Digital Literacy for Villages,IT & Digital Services,2400000000,2024,2026,2
P019,Heritage Site Restoration,Tourism,2100000000,2025,2031,6
P020,Mobile Healthcare Van,Healthcare,1950000000,2024,2029,5
P021,Renewable Energy Awareness,Energy,1400000000,2025,2026,1
P022,Public Wi-Fi in Market Areas,IT & Digital Services,1800000000,2024,2025,1
P023,Rainwater Harvesting Tanks,Environment,2000000000,2024,2027,3
P024,Eco-Friendly Public Transport,Transport,2350000000,2025,2032,7
P025,Coastal Fishermen Welfare,Social Welfare,1300000000,2024,2026,2
P026,Village Waste-to-Compost Project,Environment,950000000,2024,2028,4
P027,Disaster Preparedness Program,Social Welfare,1700000000,2025,2030,5
P028,Farmers Market Development,Infrastructure,2200000000,2024,2029,5
P029,Cyber Security Awareness Camps,IT & Digital Services,1000000000,2025,2026,1
P030,Village Playgrounds & Parks,Social Welfare,2000000000,2024,2031,7
P031,Rural Telemedicine Centers,Healthcare,1900000000,2024,2028,4
P032,Smart Traffic Management System,Transport,1750000000,2025,2029,4
P033,Green Energy for Public Buildings,Energy,2100000000,2024,2030,6
P034,Rural Broadband Connectivity,IT & Digital Services,2250000000,2025,2032,7
P035,Affordable Housing for Low Income,Infrastructure,2400000000,2024,2031,7
P036,Urban River Cleanup,Environment,1150000000,2024,2026,2
P037,Public Transport Tracking App,IT & Digital Services,1100000000,2025,2027,2
P038,Rural Sports Training Centers,Education,1700000000,2024,2028,4
P039,Solar-Powered Water Pumps,Energy,2000000000,2025,2030,5
P040,City Biodiversity Parks,Environment,1250000000,2024,2026,2
P041,Low-Cost Medical Clinics,Healthcare,2200000000,2025,2031,6
P042,Coastal Erosion Prevention,Environment,1750000000,2024,2029,5
P043,Smart Water Meters,Water & Sanitation,1900000000,2025,2030,5
P044,Heritage Tourism Development,Tourism,1450000000,2024,2028,4
P045,Traffic-Free Pedestrian Zones,Transport,1850000000,2025,2031,6
P046,Affordable Public Housing,Infrastructure,2400000000,2024,2032,8
P047,Clean Energy Research Center,Energy,2200000000,2025,2031,6
P048,Microfinance for Rural Entrepreneurs,Social Welfare,1350000000,2024,2027,3
P049,Underground Sewage System Upgrade,Water & Sanitation,2400000000,2025,2032,7
P050,Public Bicycle Sharing System,Transport,1800000000,2024,2026,2
,Rural Healthcare Expansion,Healthcare,185000000,2025,2029,4
,Rural Healthcare Expansion,Healthcare,185000000,2025,2029,4
,Heritage Tourism Promotion,Tourism,1000000,2025,2026,1
